adapter	dump_status	compile_status	snapshot_count	adapter_sha256	suffix_tool_sha256	before_cvpipelining_files
s7_exp27_shared_kv_nope_SSA_3580us.ttadapter	complete	fail:1	1	76946d8d5952e1313d600831d5a57309e9b6c2c1e49a617292f4435fa0d48756	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s7_exp27_shared_kv_nope_SSA_3580us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s8_exp28_hoist_Q_loads_3589us.ttadapter	complete	fail:1	1	92c6e0e892e283bb78871f201149b0e38d643b4b2e2747693c24342fd9324452	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s8_exp28_hoist_Q_loads_3589us.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
s9_exp32_enable_code_motion_3573us_FINAL_BEST.ttadapter	complete	fail:1	1	3e7b43547c38297622616049bbcf1f2e17a4f6684db0f380d11815db63cb84bf	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/s9_exp32_enable_code_motion_3573us_FINAL_BEST.ttadapter/before_cvpipelining_func_func_sparse_flash_attention_prefill_kernel_cvpipe_32.mlir
softmax_bench.ttadapter	complete	fail:1	1	474213df89adb40644bb267adb5ac31b67a92c8c58a13bb4e898d8c23e543a50	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/softmax_bench.ttadapter/before_cvpipelining_func_func_softmax_kernel_32.mlir
triton.language.abs.ttadapter	complete	fail:1	1	4e7c1d2a48166fb98a303254ab881d5197bdbc48badd1cec1834dd0fb2f638ac	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/triton.language.abs.ttadapter/before_cvpipelining_func_func_abs_kernel_32.mlir
triton.language.advance.ttadapter	complete	fail:1	1	a5e40402dcb4c18dbcabae0e7a14c0507347fc0cb0dd1cc6a8f31c88beb6c2be	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/triton.language.advance.ttadapter/before_cvpipelining_func_func_kernel_32.mlir
triton.language.and.ttadapter	complete	fail:1	1	bee245ebe83f71e2e300709f0c2679482797c6c57b1184bc11853b76d4f22605	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/triton.language.and.ttadapter/before_cvpipelining_func_func_fn_npu__32.mlir
triton.language.arange.ttadapter	complete	fail:1	1	6f15be057b6ace2d102d98c6d0e6275e209863fd6f07cee4dbc19596df1f41eb	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/triton.language.arange.ttadapter/before_cvpipelining_func_func_arange_kernel_32.mlir
triton.language.argmax.ttadapter	complete	fail:1	1	e2e15c9707eb5f3fd4327a3c89c1323cd71b936f3cd5dedb2f7ed67019497f24	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/triton.language.argmax.ttadapter/before_cvpipelining_func_func_triton_argmax_2d_32.mlir
triton.language.argmin.ttadapter	complete	fail:1	1	ed64b93b8751675e4154574b154acd477b6388b01437c416cb3c8e21163ae84b	c2149795601874225a9f9feb6f699ce1ad9117f3c810b3e37500f29c7fd846b9	data/before_cvpipelining/triton.language.argmin.ttadapter/before_cvpipelining_func_func_triton_argmin_2d_32.mlir
